locus_tag	ftype	length_bp	gene	EC_number	COG	product
KEIGPOEO_02335	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
KEIGPOEO_02336	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
KEIGPOEO_02337	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
KEIGPOEO_02338	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
KEIGPOEO_02339	CDS	714	qseG			Quorum-sensing regulator protein G
KEIGPOEO_02340	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
KEIGPOEO_02341	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
KEIGPOEO_02342	CDS	1557	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
KEIGPOEO_02343	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
KEIGPOEO_02344	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
KEIGPOEO_02345	CDS	849	murR_2		COG1737	HTH-type transcriptional regulator MurR
KEIGPOEO_02346	CDS	261	yfhL		COG1145	Ferredoxin YfhL
KEIGPOEO_02347	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
KEIGPOEO_02348	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
KEIGPOEO_02349	CDS	729	recO		COG1381	DNA repair protein RecO
KEIGPOEO_02350	CDS	906	era_1		COG1159	GTPase Era
KEIGPOEO_02351	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
KEIGPOEO_02352	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
KEIGPOEO_02353	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
KEIGPOEO_02354	CDS	480	rseC		COG3086	Protein RseC
KEIGPOEO_02355	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
KEIGPOEO_02356	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
KEIGPOEO_02357	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
KEIGPOEO_02358	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
KEIGPOEO_02359	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
KEIGPOEO_02360	CDS	1335	srmB_1	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
KEIGPOEO_02361	CDS	882	cmpR			HTH-type transcriptional activator CmpR
KEIGPOEO_02362	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
KEIGPOEO_02363	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
KEIGPOEO_02364	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
KEIGPOEO_02365	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
KEIGPOEO_02366	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
KEIGPOEO_02367	CDS	699				hypothetical protein
KEIGPOEO_02368	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
KEIGPOEO_02369	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
KEIGPOEO_02370	CDS	273				hypothetical protein
KEIGPOEO_02371	CDS	1299	kgtP			Alpha-ketoglutarate permease
KEIGPOEO_02372	rRNA	111				5S ribosomal RNA
KEIGPOEO_02373	rRNA	2758				23S ribosomal RNA
KEIGPOEO_02374	rRNA	1538				16S ribosomal RNA
KEIGPOEO_02375	CDS	2574	clpB		COG0542	Chaperone protein ClpB
KEIGPOEO_02376	CDS	732	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
KEIGPOEO_02377	CDS	981	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
KEIGPOEO_02378	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
KEIGPOEO_02379	CDS	342	raiA		COG1544	Ribosome-associated inhibitor A
KEIGPOEO_02380	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
KEIGPOEO_02381	CDS	1122	tyrA		COG0287	T-protein
KEIGPOEO_02382	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
KEIGPOEO_02383	CDS	363				hypothetical protein
KEIGPOEO_02384	CDS	519				hypothetical protein
KEIGPOEO_02385	CDS	1227	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
KEIGPOEO_02386	CDS	483	pal_2			Peptidoglycan-associated lipoprotein
KEIGPOEO_02387	CDS	348	rplS		COG0335	50S ribosomal protein L19
KEIGPOEO_02388	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
KEIGPOEO_02389	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
KEIGPOEO_02390	CDS	249	rpsP		COG0228	30S ribosomal protein S16
KEIGPOEO_02391	CDS	1362	ffh		COG0541	Signal recognition particle protein
KEIGPOEO_02392	CDS	867	ypjD		COG4137	Inner membrane protein YpjD
KEIGPOEO_02393	CDS	1242				hypothetical protein
KEIGPOEO_02394	CDS	594	grpE		COG0576	Protein GrpE
KEIGPOEO_02395	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
KEIGPOEO_02396	CDS	1662	recN		COG0497	DNA repair protein RecN
KEIGPOEO_02397	CDS	342	bamE		COG2913	Outer membrane protein assembly factor BamE
KEIGPOEO_02398	CDS	291				hypothetical protein
KEIGPOEO_02399	CDS	477	ratA		COG2867	Ribosome association toxin RatA
KEIGPOEO_02400	CDS	483	smpB		COG0691	SsrA-binding protein
KEIGPOEO_02401	CDS	126				hypothetical protein
KEIGPOEO_02402	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
KEIGPOEO_02403	CDS	1242	intA_3		COG0582	Prophage integrase IntA
KEIGPOEO_02404	CDS	3747				hypothetical protein
KEIGPOEO_02405	CDS	3852				hypothetical protein
KEIGPOEO_02406	CDS	747				hypothetical protein
KEIGPOEO_02407	CDS	180				hypothetical protein
KEIGPOEO_02408	CDS	882				hypothetical protein
KEIGPOEO_02409	CDS	240				hypothetical protein
KEIGPOEO_02410	CDS	123				hypothetical protein
KEIGPOEO_02411	CDS	300	era_2			GTPase Era
KEIGPOEO_02412	CDS	312				hypothetical protein
KEIGPOEO_02413	CDS	747				IS3 family transposase ISCfr6
KEIGPOEO_02414	CDS	471				hypothetical protein
KEIGPOEO_02415	CDS	690				hypothetical protein
KEIGPOEO_02416	CDS	483				hypothetical protein
KEIGPOEO_02417	tRNA	76				tRNA-Met(cat)
KEIGPOEO_02418	CDS	1647				hypothetical protein
KEIGPOEO_02419	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
KEIGPOEO_02420	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
KEIGPOEO_02421	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
KEIGPOEO_02422	CDS	1281	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
KEIGPOEO_02423	CDS	1401	gabP		COG1113	GABA permease
KEIGPOEO_02424	CDS	663	glaR		COG1802	HTH-type transcriptional repressor GlaR
KEIGPOEO_02425	CDS	450	kbp		COG1652	Potassium binding protein Kbp
KEIGPOEO_02426	CDS	159				hypothetical protein
KEIGPOEO_02427	CDS	300	ygaV		COG0640	putative HTH-type transcriptional regulator YgaV
KEIGPOEO_02428	CDS	525	ygaP		COG0607	Inner membrane protein YgaP
KEIGPOEO_02429	CDS	405	stpA		COG2916	DNA-binding protein StpA
KEIGPOEO_02430	CDS	450	alaE			L-alanine exporter AlaE
KEIGPOEO_02431	CDS	345				hypothetical protein
KEIGPOEO_02432	CDS	330	ygaM		COG4575	putative protein YgaM
KEIGPOEO_02433	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
KEIGPOEO_02434	CDS	411	nrdI		COG1780	Protein NrdI
KEIGPOEO_02435	CDS	2145	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
KEIGPOEO_02436	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
KEIGPOEO_02437	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
KEIGPOEO_02438	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
KEIGPOEO_02439	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
KEIGPOEO_02440	CDS	1185				putative transporter
KEIGPOEO_02441	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
KEIGPOEO_02442	CDS	336				hypothetical protein
KEIGPOEO_02443	CDS	531	mprA		COG1846	Transcriptional repressor MprA
KEIGPOEO_02444	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
KEIGPOEO_02445	CDS	1539	emrB			Multidrug export protein EmrB
KEIGPOEO_02446	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
KEIGPOEO_02447	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
KEIGPOEO_02448	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
KEIGPOEO_02449	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
KEIGPOEO_02450	tRNA	77				tRNA-Arg(acg)
KEIGPOEO_02451	tRNA	93				tRNA-Ser(gct)
KEIGPOEO_02452	CDS	186	csrA		COG1551	Carbon storage regulator
KEIGPOEO_02453	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
KEIGPOEO_02454	CDS	501	recX		COG2137	Regulatory protein RecX
KEIGPOEO_02455	CDS	1062	recA		COG0468	Protein RecA
KEIGPOEO_02456	CDS	498	pncC_2	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
KEIGPOEO_02457	CDS	1191	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
KEIGPOEO_02458	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
KEIGPOEO_02459	CDS	960	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
KEIGPOEO_02460	CDS	372	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
KEIGPOEO_02461	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
KEIGPOEO_02462	CDS	360				hypothetical protein
KEIGPOEO_02463	CDS	774	srlR_2		COG1349	Glucitol operon repressor
KEIGPOEO_02464	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
KEIGPOEO_02465	CDS	1515	norR_1		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
KEIGPOEO_02466	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
KEIGPOEO_02467	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
KEIGPOEO_02468	CDS	2253	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
KEIGPOEO_02469	CDS	528	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
KEIGPOEO_02470	CDS	1014	ascG		COG1609	HTH-type transcriptional regulator AscG
KEIGPOEO_02471	CDS	1458	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
KEIGPOEO_02472	CDS	1425	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
KEIGPOEO_02473	CDS	981				IS110 family transposase IS621
KEIGPOEO_02474	CDS	420	higA_1		COG5499	Antitoxin HigA
KEIGPOEO_02475	CDS	774				hypothetical protein
KEIGPOEO_02476	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
KEIGPOEO_02477	CDS	411				hypothetical protein
KEIGPOEO_02478	CDS	768	hycG_2		COG3260	Formate hydrogenlyase subunit 7
KEIGPOEO_02479	CDS	543	ndhI_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
KEIGPOEO_02480	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
KEIGPOEO_02481	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
KEIGPOEO_02482	CDS	1827	ndhB_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
KEIGPOEO_02483	CDS	612	hyfA_3	1.-.-.-	COG1142	Hydrogenase-4 component A
KEIGPOEO_02484	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
KEIGPOEO_02485	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
KEIGPOEO_02486	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
KEIGPOEO_02487	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
KEIGPOEO_02488	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
KEIGPOEO_02489	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
KEIGPOEO_02490	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
KEIGPOEO_02491	CDS	354				hypothetical protein
KEIGPOEO_02492	CDS	180				hypothetical protein
KEIGPOEO_02493	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
KEIGPOEO_02494	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
KEIGPOEO_02495	CDS	768	srlR_3		COG1349	Glucitol operon repressor
KEIGPOEO_02496	CDS	909	ltnD	1.1.1.411		L-threonate dehydrogenase
KEIGPOEO_02497	CDS	1263	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
KEIGPOEO_02498	CDS	639	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
KEIGPOEO_02499	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
KEIGPOEO_02500	CDS	1365	ygbN		COG2610	Inner membrane permease YgbN
KEIGPOEO_02501	CDS	237	vdcD			Protein VdcD
KEIGPOEO_02502	CDS	1428	edcC	4.1.1.61	COG0043	Phenolic acid decarboxylase
KEIGPOEO_02503	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
KEIGPOEO_02504	CDS	408	hosA			Transcriptional regulator HosA
KEIGPOEO_02505	CDS	993	rpoS		COG0568	RNA polymerase sigma factor RpoS
KEIGPOEO_02506	CDS	1140	nlpD_1		COG0739	Murein hydrolase activator NlpD
KEIGPOEO_02507	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
KEIGPOEO_02508	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
KEIGPOEO_02509	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
KEIGPOEO_02510	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
KEIGPOEO_02511	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
KEIGPOEO_02512	CDS	312	ftsB		COG2919	Cell division protein FtsB
KEIGPOEO_02513	CDS	324	ygbE			Inner membrane protein YgbE
KEIGPOEO_02514	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
KEIGPOEO_02515	CDS	1428	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
KEIGPOEO_02516	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
KEIGPOEO_02517	CDS	1038				hypothetical protein
KEIGPOEO_02518	CDS	294	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
KEIGPOEO_02519	CDS	921	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
KEIGPOEO_02520	CDS	651	casE	3.1.-.-		CRISPR system Cascade subunit CasE
KEIGPOEO_02521	CDS	747				hypothetical protein
KEIGPOEO_02522	CDS	1056	casC			CRISPR system Cascade subunit CasC
KEIGPOEO_02523	CDS	537				hypothetical protein
KEIGPOEO_02524	CDS	1563	casA			CRISPR system Cascade subunit CasA
KEIGPOEO_02525	CDS	2700	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
KEIGPOEO_02526	CDS	141				hypothetical protein
KEIGPOEO_02527	CDS	1113			COG3385	IS4 family transposase IS421
KEIGPOEO_02528	CDS	153	hokE_2			Toxic protein HokE
KEIGPOEO_02529	CDS	735	cysH_2	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
KEIGPOEO_02530	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
KEIGPOEO_02531	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
KEIGPOEO_02532	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
KEIGPOEO_02533	CDS	1272		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
KEIGPOEO_02534	CDS	261	fixX_2		COG2440	Ferredoxin-like protein FixX
KEIGPOEO_02535	CDS	576	ygcP		COG1954	putative protein YgcP
KEIGPOEO_02536	CDS	861	fixB_2			Protein FixB
KEIGPOEO_02537	CDS	780				hypothetical protein
KEIGPOEO_02538	CDS	1410	ygcS_2			Inner membrane metabolite transport protein YgcS
KEIGPOEO_02539	CDS	1455				hypothetical protein
KEIGPOEO_02540	CDS	786	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
KEIGPOEO_02541	CDS	1278	yqcE			Inner membrane protein YqcE
KEIGPOEO_02542	CDS	1479	lsrK_1	2.7.1.189	COG1070	Autoinducer-2 kinase
	repeat_region	822				
KEIGPOEO_02543	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
KEIGPOEO_02544	CDS	141	yqcG			putative protein YqcG
KEIGPOEO_02545	CDS	705				hypothetical protein
KEIGPOEO_02546	CDS	1299	eno	4.2.1.11	COG0148	Enolase
KEIGPOEO_02547	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
KEIGPOEO_02548	CDS	792	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
KEIGPOEO_02549	CDS	336	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
KEIGPOEO_02550	CDS	249	mazE		COG2336	Antitoxin MazE
KEIGPOEO_02551	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
KEIGPOEO_02552	CDS	1302	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
KEIGPOEO_02553	CDS	2757	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
KEIGPOEO_02554	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
KEIGPOEO_02555	CDS	987	gudX_1	4.2.1.-	COG4948	Glucarate dehydratase-related protein
KEIGPOEO_02556	CDS	348	gudX_2	4.2.1.-	COG4948	Glucarate dehydratase-related protein
KEIGPOEO_02557	CDS	1353	gudP			putative glucarate transporter
KEIGPOEO_02558	CDS	450			COG0716	putative protein
KEIGPOEO_02559	CDS	408	truC_1	5.4.99.26	COG0564	tRNA pseudouridine synthase C
KEIGPOEO_02560	CDS	321	truC_2	5.4.99.26	COG0564	tRNA pseudouridine synthase C
KEIGPOEO_02561	CDS	330	yqcC		COG3098	putative protein YqcC
KEIGPOEO_02562	CDS	546	syd			Protein Syd
KEIGPOEO_02563	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
KEIGPOEO_02564	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
KEIGPOEO_02565	CDS	1290	sdaC		COG0814	Serine transporter
KEIGPOEO_02566	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
KEIGPOEO_02567	CDS	846	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
KEIGPOEO_02568	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
KEIGPOEO_02569	CDS	648	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
KEIGPOEO_02570	CDS	1317	fucP_2		COG0738	L-fucose-proton symporter
KEIGPOEO_02571	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
KEIGPOEO_02572	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
KEIGPOEO_02573	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
KEIGPOEO_02574	CDS	732	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
KEIGPOEO_02575	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
KEIGPOEO_02576	CDS	396				hypothetical protein
KEIGPOEO_02577	CDS	918	gcvA			Glycine cleavage system transcriptional activator
KEIGPOEO_02578	CDS	228	ygdR_1			putative lipoprotein YgdR
KEIGPOEO_02579	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
KEIGPOEO_02580	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
KEIGPOEO_02581	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
KEIGPOEO_02582	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
KEIGPOEO_02583	tRNA	77				tRNA-Met(cat)
KEIGPOEO_02584	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
KEIGPOEO_02585	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
KEIGPOEO_02586	CDS	1827	recD_2	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
KEIGPOEO_02587	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
KEIGPOEO_02588	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
KEIGPOEO_02589	CDS	3369	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
KEIGPOEO_02590	CDS	324				hypothetical protein
KEIGPOEO_02591	CDS	408				hypothetical protein
KEIGPOEO_02592	CDS	564				hypothetical protein
KEIGPOEO_02593	CDS	471				hypothetical protein
KEIGPOEO_02594	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
KEIGPOEO_02595	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
KEIGPOEO_02596	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
KEIGPOEO_02597	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
KEIGPOEO_02598	CDS	147				hypothetical protein
KEIGPOEO_02599	CDS	690	mutH		COG3066	DNA mismatch repair protein MutH
KEIGPOEO_02600	CDS	714				hypothetical protein
KEIGPOEO_02601	CDS	219	ygdR_2			putative lipoprotein YgdR
KEIGPOEO_02602	CDS	1041	tas		COG0667	Protein tas
KEIGPOEO_02603	CDS	1194	lplT			Lysophospholipid transporter LplT
KEIGPOEO_02604	CDS	2160	aas		COG0204	Bifunctional protein Aas
KEIGPOEO_02605	CDS	1032	galR		COG1609	HTH-type transcriptional regulator GalR
KEIGPOEO_02606	CDS	1263	lysA	4.1.1.20		Diaminopimelate decarboxylase
KEIGPOEO_02607	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
KEIGPOEO_02608	CDS	693	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
KEIGPOEO_02609	CDS	1419	araE			Arabinose-proton symporter
KEIGPOEO_02610	CDS	762	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
KEIGPOEO_02611	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
KEIGPOEO_02612	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
KEIGPOEO_02613	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
KEIGPOEO_02614	CDS	633				hypothetical protein
KEIGPOEO_02615	CDS	132				hypothetical protein
KEIGPOEO_02616	CDS	810				hypothetical protein
KEIGPOEO_02617	CDS	483				hypothetical protein
KEIGPOEO_02618	CDS	141				hypothetical protein
KEIGPOEO_02619	CDS	426				hypothetical protein
KEIGPOEO_02620	CDS	438				hypothetical protein
KEIGPOEO_02621	CDS	492	sicA		COG0457	Chaperone protein SicA
KEIGPOEO_02622	CDS	1377	hilA		COG0457	Transcriptional regulator HilA
KEIGPOEO_02623	CDS	219				hypothetical protein
KEIGPOEO_02624	CDS	375				hypothetical protein
KEIGPOEO_02625	CDS	444	ygeK			putative response regulatory protein YgeK
KEIGPOEO_02626	CDS	156				hypothetical protein
KEIGPOEO_02627	CDS	432				hypothetical protein
KEIGPOEO_02628	CDS	582	orgA			Oxygen-regulated invasion protein OrgA
KEIGPOEO_02629	CDS	735	prgK		COG4669	Lipoprotein PrgK
KEIGPOEO_02630	CDS	165				hypothetical protein
KEIGPOEO_02631	CDS	156				hypothetical protein
KEIGPOEO_02632	CDS	1182	prgH			Protein PrgH
KEIGPOEO_02633	CDS	501				hypothetical protein
KEIGPOEO_02634	CDS	294				hypothetical protein
KEIGPOEO_02635	CDS	363	spaS_1		COG1377	Surface presentation of antigens protein SpaS
KEIGPOEO_02636	CDS	204				hypothetical protein
KEIGPOEO_02637	CDS	489	spaS_2		COG1377	Surface presentation of antigens protein SpaS
KEIGPOEO_02638	CDS	768	spaR		COG4791	Surface presentation of antigens protein SpaR
KEIGPOEO_02639	CDS	261	spaQ		COG4794	Surface presentation of antigens protein SpaQ
KEIGPOEO_02640	CDS	486	spaP		COG4790	Surface presentation of antigens protein SpaP
KEIGPOEO_02641	CDS	417				hypothetical protein
KEIGPOEO_02642	CDS	366				hypothetical protein
KEIGPOEO_02643	CDS	1611				hypothetical protein
KEIGPOEO_02644	tRNA	74				tRNA-Gly(ccc)
KEIGPOEO_02645	CDS	756	nlpD_2			Murein hydrolase activator NlpD
KEIGPOEO_02646	CDS	2298	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
KEIGPOEO_02647	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
KEIGPOEO_02648	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
KEIGPOEO_02649	CDS	1779	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
KEIGPOEO_02650	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
KEIGPOEO_02651	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
KEIGPOEO_02652	CDS	1212	argE_2	3.5.1.16	COG0624	Acetylornithine deacetylase
KEIGPOEO_02653	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
KEIGPOEO_02654	CDS	933	arcC1_2	2.7.2.2		Carbamate kinase 1
KEIGPOEO_02655	CDS	1626				hypothetical protein
KEIGPOEO_02656	CDS	771				hypothetical protein
KEIGPOEO_02657	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
KEIGPOEO_02658	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
KEIGPOEO_02659	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
KEIGPOEO_02660	CDS	780				hypothetical protein
